State,Reported Use Of Force,Population
Alabama,0,0
Alaska,532,49.4K
Arizona,17277,4M
Arkansas,3501,450.1K
California,151004,23M
Colorado,29764,2.1M
Connecticut,4102,349.8K
Delaware,2063,494.2K
District Of Columbia,6440,689.5K
Florida,84030,10.9M
Georgia,15386,3.3M
Hawaii,15575,1.4M
Idaho,3299,393.8K
Illinois,20794,3.5M
Indiana,20936,1.8M
Iowa,9963,477.2K
Kansas,19016,1.1M
Kentucky,2126,715.2K
Louisiana,8020,966.3K
Maine,2923,227.8K
Maryland,20626,3.5M
Massachusetts,8490,1.4M
Michigan,6659,1.2M
Minnesota,11943,983.8K
Mississippi,150,39.6K
Missouri,14044,1.6M
Montana,3554,252.9K
Nebraska,4050,876K
Nevada,10295,2.8M
New Hampshire,2675,297.6K
New Jersey,8962,1.2M
New Mexico,7929,838.1K
New York,53583,9.4M
North Carolina,9687,2.5M
North Dakota,3586,207K
Ohio,24596,2.6M
Oklahoma,4592,854.7K
Oregon,8504,1.2M
Pennsylvania,5977,744.3K
Rhode Island,5107,486.4K
South Carolina,8022,952.3K
South Dakota,1934,212K
Tennessee,12548,1.8M
Texas,128216,15.5M
Utah,3396,364.2K
Vermont,1643,84K
Virginia,8941,2.8M
Washington,27837,3.9M
West Virginia,1560,72K
Wisconsin,13400,1.6M
Wyoming,2089,127.4K
